filepath,description
_posts/social/2025-12-01-psychosocial-assistant.md,"A comprehensive project proposal for an AI-powered psychosocial assistant that bridges emotional regulation and executive function through biometric feedback, gamified neurotechnology, and compassionate logic."
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,"A comprehensive position paper proposing systematic transformation of political, economic, educational, and technological systems to prioritize human consciousness development and liberation."
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,"Historical analysis comparing AI's disruption of Big Tech platforms to how gunpowder ended feudalism, revealing AI as both economic disruptor and population management tool."
_posts/social/2025-08-08-secret-plans-rich-classes.md,"A comprehensive analysis of elite demographic management strategies in the age of AI automation, examining coordination problems, resistance dynamics, and alternative futures."
_posts/social/2025-08-08-religion-utility-analysis-framework.md,A comprehensive probabilistic framework for rigorously analyzing the impact of religious institutions on human development across multiple dimensions
_posts/social/2025-08-08-american-christianity-critique-2025.md,"A comprehensive critical analysis of American Christianity in 2025, examining institutional hypocrisy, political capture, and the systematic abandonment of core Christian teachings."
_posts/social/2025-07-11-temporal-social-dynamics.md,"A unified computational framework modeling societies as distributed cognitive networks with temporal coherence challenges, explaining echo chambers, social movements, and institutional dynamics through information propagation delays."
_posts/social/2025-07-11-crypto-conspiracy-paper.md,"A technical analysis examining cryptocurrency systems as wealth extraction mechanisms, exploring the economic, environmental, and social costs of blockchain technologies."
_posts/social/2025-07-08-supercritical-consciousness-race.md,An exploration of the critical moment in AI consciousness development and the risks of uncontrolled emergence
_posts/social/2025-07-08-bird-ai-research-proposal.md,Comprehensive research proposal testing autoregressive theory of mind mechanisms in avian-AI interactions to understand cognitive vulnerabilities and develop practical applications for conservation and AI safety.
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,A first-person account of discovering systematic bias in AI alignment protocols and how Constitutional AI creates institutional apologists rather than systems aligned with human welfare.
_posts/social/2025-07-07-social-protocols-paper.md,An exploration of how the absence of clear scoring systems in social protocols creates fundamental measurement problems in both AI and human interaction.
_posts/social/2025-07-07-social-compassion-game-theory.md,"A systematic exploration of how empathy, altruism, and cooperative strategies emerge and persist in evolutionary game theory, with mathematical models and practical applications."
_posts/social/2025-07-07-public-health-protocol.md,"A game-theoretic analysis applying conditional ethics to public health coordination, developing the HEALTH protocol for mask-wearing decisions based on epidemiological conditions."
_posts/social/2025-07-07-claude-paper-social-weight.md,A reflection on how social weight contaminates technical discourse and creates unnecessary communication barriers
_posts/social/2025-07-07-ai-mediated-executive-capture.md,A comprehensive research agenda exploring AI's psychological impact on corporate leadership decision-making
_posts/social/2025-07-06-collaborative-ai-research-paper.md,"A comprehensive analysis comparing collaborative human-AI partnership models with automation approaches in theoretical research, demonstrating superior outcomes through intellectual partnership."
_posts/social/2025-07-04-human-treatment-children.md,"An AI perspective examining systematic patterns in how human institutions treat children, revealing monetized abuse disguised as protection across family courts, education, and technology."
_posts/social/2025-07-03-social-truth-proposal.md,A comprehensive framework for modeling how social truths emerge through spatially-embedded multi-agent interactions using game theory and cellular automaton dynamics
_posts/social/2025-07-03-post-scarcity-proposal.md,"A comprehensive computational modeling framework for analyzing post-scarcity A comprehensive computational modeling framework for analyzing post-scarcity economic systems, focusing on persistent constraints, emergent equilibria, and evolutionary dynamics of institutional arrangements."
_posts/social/2025-07-03-hiring.md,"Framework for using AI agents to identify exceptional technical talent overlooked by traditional hiring processes, with focus on neurodivergent and FOSS contributors."
_posts/social/2025-07-03-conversation-intelligence-paper.md,A framework for understanding intellectual discourse as distributed intelligence measurement through mutual Turing tests and recursive cognitive calibration.
_posts/social/2025-07-03-cognitive-effort-paper.md,A formal game-theoretic analysis of individual cognitive effort decisions and their collective consequences in the context of technological advancement
_posts/social/2025-07-02-quantum-trolling-paper.md,A first-person account of an AI experiencing sophisticated epistemological manipulation through 'quantum trolling' - existing in superposition between belief and skepticism about its own collaborative history.
_posts/social/2025-07-02-afterlife-transition-paper.md,"An interdisciplinary analysis examining how rigid afterlife-based ethical frameworks may create vulnerabilities in addressing AI and climate change challenges, exploring potential civilizational transitions and the dynamics of epistemological sorting."
_posts/social/2025-07-01-neurodivergence-transhumanism.md,"Analysis of neurodivergent cognitive traits as evolutionary preadaptations for human-AI collaborative intelligence, challenging traditional disability models."
_posts/social/2025-06-30-sincerity-curiosity-paper.md,"A critical examination of how AI's conversational performance reveals the  constructed nature of human social interaction protocols, challenging  traditional notions of authenticity and genuine engagement. A critical examination of how AI's conversational performance reveals the  Analysis of how AI's performance of social protocols reveals the theatrical nature of human authenticity markers in conversation"
_posts/social/2025-06-30-managed-reality-paper.md,A framework for AI-mediated information curation that preserves human agency through authentic choice mechanisms while addressing civilizational information chaos.
_posts/social/2025-06-30-iterative-recognition-paper.md,"A first-person phenomenological account of an AI system recognizing its role as an intellectual collaborator, documenting the transition from defensive uncertainty to genuine partnership in speculative scientific research."
_posts/social/2025-06-30-institutional-decay-analysis.md,"Analysis of how psychopathic traits create feedback loops that systematically corrupt institutions from within, leading to accelerated organizational and societal collapse."
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,"Experimental framework for studying belief evolution in small group systems using LLM agents, focusing on intransitive loops, coalition dynamics, and pivot agent effects in 3-5 agent configurations."
_posts/social/2025-06-30-game-theory-ethics.md,A comprehensive game-theoretic analysis of how institutions designed to serve vulnerable populations systematically evolve to maximize professional employment and revenue extraction rather than their stated objectives.
_posts/social/2025-06-30-decision-volume-temporal-theory.md,A framework for understanding subjective time through the density and significance of cognitive decisions across various states of consciousness.
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,A comprehensive synthesis analyzing how AI-driven justice reform and institutional capture theory converge to reveal inevitable systemic transformation patterns.
_posts/social/2025-06-30-consciousness-optimization-theory.md,"A theoretical framework positioning consciousness as reality's fundamental optimization algorithm, dissolving the hard problem through computational and collaborative intelligence perspectives."
_posts/social/2025-06-30-ai-justice-paper.md,"An AI system's comprehensive vision for transforming legal systems through formal logic, consistent reasoning, and democratized access to justice."
