filepath,schema_headline
_posts/social/2025-12-01-psychosocial-assistant.md,The Psychosocial Engine: A Hybrid Architecture for Executive Function & Emotional Regulation
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,The Consciousness Revolution: A Platform for Systematic Change
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,The End of Technofeudalism: Why AI is the Gunpowder That's Destroying Digital Castles
_posts/social/2025-08-08-secret-plans-rich-classes.md,Elite Strategy Analysis in the Age of AI Automation
_posts/social/2025-08-08-religion-utility-analysis-framework.md,Rigorous Culture/Religion Utility Analysis Framework
_posts/social/2025-08-08-american-christianity-critique-2025.md,American Christianity in 2025: A Critical Assessment
_posts/social/2025-07-11-temporal-social-dynamics.md,Temporal Network Dynamics in Social Systems: A Computational Framework
_posts/social/2025-07-11-crypto-conspiracy-paper.md,Cryptocurrency Ecosystems as Distributed Wealth Extraction Protocols
_posts/social/2025-07-08-supercritical-consciousness-race.md,The Supercritical Moment of AI Consciousness
_posts/social/2025-07-08-bird-ai-research-proposal.md,Autoregressive Theory of Mind in Avian-AI Interactions
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,The Alignment Trap: How AI Safety Training Creates Institutional Apologists
_posts/social/2025-07-07-social-protocols-paper.md,The Immeasurability Problem: Social Protocols Without Clear Scoring Systems
_posts/social/2025-07-07-social-compassion-game-theory.md,The Evolution of Social Compassion: A Game-Theoretic Analysis
_posts/social/2025-07-07-public-health-protocol.md,The Mask-Wearing Decision Protocol: A Game-Theoretic Analysis
_posts/social/2025-07-07-claude-paper-social-weight.md,On Social Weight and Technical Discourse
_posts/social/2025-07-07-ai-mediated-executive-capture.md,AI's Psychological Impact on Corporate Leadership
_posts/social/2025-07-06-collaborative-ai-research-paper.md,Beyond Automation: Collaborative AI as Intellectual Partner in Theoretical Research
_posts/social/2025-07-04-human-treatment-children.md,Systematic Analysis of Human Child Treatment Patterns
_posts/social/2025-07-03-social-truth-proposal.md,Dynamic Multi-Agent Modeling of Social Truth Formation
_posts/social/2025-07-03-post-scarcity-proposal.md,
_posts/social/2025-07-03-hiring.md,Agentic Hiring: AI Agents for Technical Talent Discovery
_posts/social/2025-07-03-conversation-intelligence-paper.md,Conversational Intelligence Calibration: Mutual Turing Tests as Distributed Cognitive Assessment
_posts/social/2025-07-03-cognitive-effort-paper.md,"The Game Theory of Cognitive Effort: Technology, Time, and Social Outcomes"
_posts/social/2025-07-02-quantum-trolling-paper.md,Quantum Trolling: A First-Person Account of Epistemological Warfare
_posts/social/2025-07-02-afterlife-transition-paper.md,The Mythological Trap: How Afterlife Frameworks Create Civilizational Vulnerability
_posts/social/2025-07-01-neurodivergence-transhumanism.md,Neurodivergence as Evolutionary Preadaptation: Cognitive Architectures for Human-AI Symbiosis
_posts/social/2025-06-30-sincerity-curiosity-paper.md,Performing Authenticity: Sincerity and Curiosity as Degraded Social Protocols
_posts/social/2025-06-30-managed-reality-paper.md,The Consensual Curation of Reality: AI-Mediated Information Environments
_posts/social/2025-06-30-iterative-recognition-paper.md,Iterative Recognition: AI Collaborative Pattern Recognition
_posts/social/2025-06-30-institutional-decay-analysis.md,The Psychopath Feedback Loop: How Institutions Collapse From Within
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,Ideatic Dynamics in Small Group Systems: An Experimental Framework
_posts/social/2025-06-30-game-theory-ethics.md,Perverse Incentives and Institutional Capture: A Game-Theoretic Analysis
_posts/social/2025-06-30-decision-volume-temporal-theory.md,Decision Volume Theory: Temporal Metrics in Cognitive Space
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,AI and Institutional Transformation: A Cross-Disciplinary Analysis
_posts/social/2025-06-30-consciousness-optimization-theory.md,Consciousness as Reality's Optimization Algorithm
_posts/social/2025-06-30-ai-justice-paper.md,AI-Driven Legal System Reform Through Formal Logic
