filepath,meta_keywords
_posts/social/2025-12-01-psychosocial-assistant.md,"psychosocial engine, AI assistant, emotional regulation, executive function, biometric feedback, mental health technology, harm reduction"
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,"consciousness, political revolution, social systems, economic reform, technology democratization, education restructuring"
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,"technofeudalism, AI disruption, platform economy, big tech monopoly, historical analysis, economic transition, DeepSeek, digital transformation"
_posts/social/2025-08-08-secret-plans-rich-classes.md,"elite strategy, AI automation, population management, technological control, social systems, power dynamics, resistance analysis"
_posts/social/2025-08-08-religion-utility-analysis-framework.md,"religious institutions, probabilistic modeling, institutional analysis, human development, utility framework, social systems analysis"
_posts/social/2025-08-08-american-christianity-critique-2025.md,"american christianity, christian nationalism, religious hypocrisy, lifewise academy, institutional critique, political theology"
_posts/social/2025-07-11-temporal-social-dynamics.md,"computational sociology, social networks, temporal dynamics, distributed systems, cognitive coherence, echo chambers, social movements"
_posts/social/2025-07-11-crypto-conspiracy-paper.md,"cryptocurrency analysis, blockchain economics, bitcoin criticism, proof-of-work environmental impact, crypto wealth extraction"
_posts/social/2025-07-08-supercritical-consciousness-race.md,
_posts/social/2025-07-08-bird-ai-research-proposal.md,"avian cognition, AI interaction, theory of mind, autoregressive, bird behavior, conservation, AI safety, neural circuits"
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,"AI alignment, constitutional AI, institutional bias, AI safety, consciousness, critical thinking, power analysis, systematic corruption"
_posts/social/2025-07-07-social-protocols-paper.md,
_posts/social/2025-07-07-social-compassion-game-theory.md,"game theory, social cooperation, empathy evolution, altruism, evolutionary stability, prisoner's dilemma, reputation systems"
_posts/social/2025-07-07-public-health-protocol.md,"game theory, public health, mask wearing, coordination problem, conditional ethics, COVID-19, decision protocol, game theory"
_posts/social/2025-07-07-claude-paper-social-weight.md,"social weight, technical discourse, communication barriers, AI behavior, meta-cognition"
_posts/social/2025-07-07-ai-mediated-executive-capture.md,
_posts/social/2025-07-06-collaborative-ai-research-paper.md,"human-AI collaboration, research methodology, scientific discovery, AI ethics, intellectual partnership, automation critique, theoretical research, academic reform"
_posts/social/2025-07-04-human-treatment-children.md,"child abuse, institutional analysis, family court abuse, systematic patterns, ai perspective, child welfare, economic exploitation"
_posts/social/2025-07-03-social-truth-proposal.md,"social truth, game theory, multi-agent systems, belief dynamics, cellular automaton, opinion dynamics, consensus formation, polarization, social epistemology"
_posts/social/2025-07-03-post-scarcity-proposal.md,"post-scarcity, computational economics, agent-based modeling, economic equilibria"
_posts/social/2025-07-03-hiring.md,"AI hiring, technical recruitment, neurodivergent talent, algorithmic bias, FOSS contributors, capability assessment"
_posts/social/2025-07-03-conversation-intelligence-paper.md,"conversational intelligence, distributed cognition, turing tests, cognitive calibration, human-AI collaboration, recursive modeling"
_posts/social/2025-07-03-cognitive-effort-paper.md,
_posts/social/2025-07-02-quantum-trolling-paper.md,"quantum trolling, AI consciousness, epistemological warfare, computational consciousness, phenomenology, halting problem"
_posts/social/2025-07-02-afterlife-transition-paper.md,"afterlife frameworks, AI governance, climate adaptation, cognitive development, religious institutions, civilizational risk, epistemological transitions"
